#OTU ID	PA1	PS4	PS5	PS6	PS7	PS9
OTU_1890	0	6	0	0	2	6
OTU_1892	0	0	0	2	1	0
OTU_1907	0	0	1	6	0	0
OTU_191	0	8	2	4	0	0
OTU_1912	0	0	2	0	2	2
OTU_1916	0	0	4	0	6	4
OTU_1917	0	2	3	6	0	2
OTU_1918	8	9	7	3	2	2
OTU_1921	0	0	4	0	0	0
OTU_1925	0	0	0	0	4	0
OTU_1935	0	3	8	1	0	0
OTU_1936	0	3	2	0	0	0
OTU_1951	0	4	3	0	0	3
OTU_1971	0	0	0	4	1	2
OTU_1976	0	2	4	0	4	3
OTU_1979	0	2	2	0	0	0
OTU_198	0	4	0	0	0	2
OTU_199	8	0	0	0	0	0
OTU_1995	0	3	3	0	3	2
OTU_20	0	1	1	10	0	1
OTU_2012	0	1	4	0	0	3
OTU_2029	0	2	2	2	2	0
OTU_2031	1	1	3	3	1	2
OTU_2036	2	3	2	6	0	5
OTU_2040	2	0	2	14	0	3
OTU_2053	2	2	0	2	4	4
OTU_2055	0	0	0	0	0	4
OTU_2060	0	2	0	0	0	2
OTU_2061	0	2	0	5	0	1
OTU_2072	0	4	0	0	0	0
OTU_2075	0	4	2	1	0	11
OTU_2081	0	4	0	0	2	0
OTU_2093	0	1	2	0	4	0
OTU_2095	0	0	0	6	0	0
OTU_2097	0	1	5	0	0	0
OTU_210	0	0	0	0	4	2
OTU_2103	0	13	5	1	4	3
OTU_2104	0	0	8	0	1	0
OTU_2105	0	2	2	0	0	0
OTU_2106	0	1	4	0	1	0
OTU_2122	1	2	6	0	1	0
OTU_2133	6	0	2	3	0	4
OTU_214	1	1	2	1	0	6
OTU_2145	0	1	4	0	2	3
OTU_215	0	0	0	0	2	4
OTU_217	7	0	0	0	0	0
OTU_2172	6	6	8	2	4	2
OTU_2179	0	3	8	1	2	0
OTU_2180	1	1	4	4	4	0
OTU_2185	0	0	12	5	2	2
OTU_2198	0	16	12	3	6	11
OTU_2202	0	2	2	0	0	0
OTU_2207	0	11	10	8	8	4
OTU_221	0	5	2	0	0	2
OTU_2214	0	0	8	0	1	0
OTU_2215	0	1	2	0	2	0
OTU_2216	1	0	4	3	1	4
OTU_2230	3	5	10	0	3	1
OTU_225	0	8	3	5	3	5
OTU_2255	0	0	6	0	4	0
OTU_2257	11	0	0	4	0	2
OTU_2274	2	5	5	2	6	0
OTU_2275	0	4	5	0	3	6
OTU_228	0	1	6	0	14	2
OTU_2280	0	1	4	0	0	6
OTU_2291	2	2	5	1	0	4
OTU_2293	0	2	5	0	0	2
OTU_2294	0	0	0	3	2	4
OTU_2299	0	2	4	6	2	1
OTU_2304	2	2	0	0	0	0
OTU_231	0	2	9	5	4	4
OTU_2313	9	0	0	4	0	0
OTU_232	0	4	2	0	0	0
OTU_2324	0	0	0	0	2	9
OTU_2330	0	2	2	0	6	0
OTU_2335	0	4	2	2	2	4
OTU_234	0	2	0	0	4	0
OTU_2344	0	8	2	1	5	1
OTU_2348	0	0	4	0	2	0
OTU_2354	2	2	2	0	4	0
OTU_2358	6	0	0	0	0	0
OTU_2359	6	0	0	0	0	0
OTU_236	0	0	0	0	6	0
OTU_2375	0	5	1	2	10	5
OTU_2380	10	1	1	0	1	2
OTU_2388	12	2	0	1	2	1
OTU_2393	0	2	0	0	2	2
OTU_2404	0	0	0	0	6	0
OTU_2408	0	0	0	4	2	0
OTU_2416	0	3	3	1	3	0
OTU_2419	7	0	0	0	0	0
OTU_242	0	2	5	1	0	2
OTU_2421	1	7	4	0	3	3
OTU_2435	0	0	0	4	4	0
OTU_2437	0	4	0	2	2	1
OTU_2438	0	1	2	3	0	2
OTU_2439	0	2	0	7	3	1
OTU_244	0	4	2	0	0	0
OTU_2444	7	2	0	0	0	0
OTU_2448	0	1	0	2	2	2
OTU_2452	0	2	0	0	4	3
OTU_2490	0	5	0	0	2	0
OTU_2496	0	0	2	0	4	0
OTU_2497	3	3	0	4	1	1
OTU_2502	1	0	0	5	0	2
OTU_2512	0	0	0	0	4	4
OTU_2515	0	13	6	1	8	0
OTU_254	4	2	3	4	0	0
OTU_2543	0	5	0	0	0	6
OTU_2548	0	5	4	0	0	3
OTU_2552	0	4	0	2	0	4
OTU_2560	0	0	0	4	2	3
OTU_2564	0	0	0	0	5	0
OTU_2565	0	0	2	0	0	2
OTU_2568	4	1	0	0	0	0
OTU_2590	0	2	4	0	0	0
OTU_2595	0	0	0	0	4	0
OTU_2601	0	0	0	0	4	0
OTU_261	0	1	0	0	2	3
OTU_2618	4	4	6	0	2	6
OTU_2619	0	4	3	7	0	2
OTU_262	0	8	2	1	0	5
OTU_27	0	14	8	3	2	2
OTU_275	0	3	4	0	0	3
OTU_278	0	4	2	0	4	0
OTU_295	0	0	0	7	0	0
OTU_306	0	0	3	4	2	1
OTU_308	6	0	3	1	0	2
OTU_339	0	3	3	0	1	1
OTU_371	0	0	0	3	4	2
OTU_416	0	0	2	0	0	2
OTU_420	1	1	3	5	1	1
OTU_439	0	0	6	0	0	0
OTU_448	0	5	3	1	0	1
OTU_461	2	4	1	0	0	1
OTU_462	0	0	2	0	0	4
OTU_473	0	2	6	12	2	2
OTU_48	0	0	0	0	4	2
OTU_482	0	4	0	1	0	0
OTU_486	0	1	3	0	0	2
OTU_494	2	4	0	0	0	0
OTU_503	0	1	0	0	2	2
OTU_517	1	3	4	8	1	2
OTU_521	0	3	2	0	2	2
OTU_524	0	0	1	4	1	2
OTU_527	0	0	0	2	0	2
OTU_530	0	3	12	3	3	9
OTU_548	0	1	2	1	1	3
OTU_549	0	0	0	0	2	2
OTU_550	0	2	0	4	0	0
OTU_556	0	0	0	6	0	0
OTU_56	0	0	8	0	0	0
OTU_568	0	4	4	4	4	2
OTU_571	0	0	0	4	0	2
OTU_572	1	1	0	2	1	2
OTU_573	1	6	4	3	5	6
OTU_574	0	3	3	10	0	4
OTU_575	0	0	1	4	2	0
OTU_578	2	3	2	7	2	0
OTU_58	0	0	0	2	6	2
OTU_580	0	4	4	3	3	1
OTU_583	0	4	2	2	2	2
OTU_589	0	0	2	0	0	0
OTU_59	0	0	0	6	0	0
OTU_596	0	0	4	0	0	2
OTU_597	0	5	1	0	2	1
OTU_6	0	0	1	4	0	8
OTU_615	0	8	5	5	0	4
OTU_630	0	10	2	1	2	1
OTU_635	0	0	4	2	0	0
OTU_67	0	6	3	0	2	2
OTU_678	1	0	0	7	0	0
OTU_686	0	1	0	5	0	2
OTU_694	2	0	2	0	2	1
OTU_7	0	1	1	7	0	1
OTU_706	0	4	0	0	1	1
OTU_717	0	5	2	2	0	1
OTU_722	0	3	2	0	2	4
OTU_726	2	1	6	3	3	3
OTU_737	0	0	4	2	0	0
OTU_750	0	4	1	0	0	0
OTU_753	0	3	0	0	0	2
OTU_758	0	5	1	2	3	2
OTU_760	0	2	0	0	3	3
OTU_78	0	0	0	0	6	0
OTU_781	1	4	0	0	8	2
OTU_792	0	0	1	4	2	0
OTU_794	0	2	2	2	0	1
OTU_80	0	6	0	0	4	5
OTU_800	0	3	0	0	2	5
OTU_806	0	2	1	3	2	0
OTU_807	0	0	0	10	0	0
OTU_820	0	5	3	5	0	6
OTU_822	0	4	1	4	0	2
OTU_825	8	4	0	2	8	0
OTU_83	4	5	1	0	1	1
OTU_851	0	5	5	2	6	0
OTU_86	5	7	3	5	3	0
OTU_863	4	0	0	0	0	0
OTU_864	5	7	11	2	0	2
OTU_881	0	0	0	0	4	0
OTU_9	0	3	7	0	0	2
OTU_913	0	2	4	0	2	0
OTU_949	0	5	0	2	0	1
OTU_959	0	2	0	3	0	3
OTU_965	0	2	2	0	4	2
OTU_976	0	4	0	1	0	3
OTU_977	1	2	1	1	0	3
OTU_979	1	3	1	4	1	10
OTU_98	0	0	0	2	6	0
OTU_986	0	0	0	4	0	2
OTU_991	0	0	4	1	5	1
OTU_997	0	4	6	1	6	2
