#OTU ID	PA1	PS4	PS5	PS6	PS7	PS9
OTU_169	0	0.008	0	0	0	0.008
OTU_1690	0	0.024	0	0	0	0
OTU_1692	0	0	0.008	0.016	0	0.008
OTU_1696	0	0.016	0.016	0	0.016	0
OTU_1699	0	0.008	0.016	0.008	0	0.008
OTU_1704	0	0	0.024	0	0	0
OTU_1708	0	0	0	0.008	0	0
OTU_171	0	0.008	0.024	0	0	0
OTU_1710	0	0	0	0.024	0	0
OTU_1712	0	0	0	0.024	0	0.016
OTU_184	0	0	0.008	0	0.032	0.008
OTU_187	0	0	0.016	0	0	0
OTU_215	0	0.016	0	0	0	0
OTU_217	0.032	0	0	0.008	0	0
OTU_222	0	0	0	0	0.016	0
OTU_223	0	0	0	0.016	0.024	0
OTU_226	0	0.024	0	0	0	0.024
OTU_231	0	0	0.008	0	0	0.016
OTU_242	0	0.008	0	0.016	0	0
OTU_25	0	0.032	0	0	0	0
OTU_263	0	0.008	0.016	0	0	0.024
OTU_29	0	0	0.008	0	0	0.016
OTU_292	0	0	0	0	0	0
OTU_297	0	0	0	0.016	0	0
OTU_301	0	0	0	0	0	0.008
OTU_308	0	0	0	0	0	0
OTU_315	0.016	0	0.008	0.008	0	0.008
OTU_322	0	0	0.016	0	0	0
OTU_354	0.032	0	0	0	0	0
OTU_356	0	0.008	0	0	0	0
OTU_362	0	0	0	0	0	0
OTU_370	0	0	0	0	0	0
OTU_371	0	0	0	0.016	0.008	0
OTU_392	0	0	0	0.016	0	0
OTU_395	0	0.008	0	0	0	0.016
OTU_400	0	0	0.008	0	0.008	0
OTU_406	0	0	0	0.024	0	0
OTU_424	0	0.008	0	0	0.04	0.016
OTU_426	0	0	0	0	0.008	0.016
OTU_44	0	0.016	0.008	0	0.008	0
OTU_442	0	0	0	0	0	0
OTU_444	0	0	0	0.016	0	0
OTU_45	0	0.04	0	0.024	0.008	0
OTU_457	0	0	0.016	0	0	0
OTU_467	0	0	0.008	0	0.008	0
OTU_47	0.008	0	0	0.04	0	0
OTU_479	0	0	0.008	0.024	0	0
OTU_48	0.016	0.008	0	0.032	0.008	0
OTU_481	0	0	0	0	0	0
OTU_499	0.016	0.016	0.008	0	0.056	0
OTU_5	0	0	0	0.008	0	0.04
OTU_500	0	0	0	0	0.008	0
OTU_513	0	0	0	0	0.032	0.008
OTU_515	0	0	0.008	0	0.008	0
OTU_518	0	0	0.008	0	0.008	0
OTU_528	0	0.016	0	0	0	0
OTU_555	0.032	0	0	0.016	0	0
OTU_569	0	0.008	0	0.008	0	0
OTU_579	0	0.016	0	0	0.008	0
OTU_58	0	0	0	0.008	0.016	0.016
OTU_6	0	0	0	0.016	0.008	0
OTU_604	0	0.008	0.008	0	0	0.008
OTU_633	0	0	0.008	0	0	0
OTU_647	0.048	0	0	0.016	0	0
OTU_708	0	0	0.008	0	0	0
OTU_73	0	0	0	0	0.016	0
OTU_778	0	0	0	0	0.008	0.008
OTU_793	0	0	0	0	0	0
OTU_85	0	0	0	0	0.016	0
OTU_91	0	0.032	0	0.016	0	0.008
OTU_92	0	0	0.016	0	0.016	0
OTU_929	0	0.008	0	0	0	0.016
OTU_938	0	0.008	0	0.016	0	0
OTU_983	0	0	0	0.016	0	0
OTU_984	0	0	0.032	0.016	0	0
OTU_998	0	0.008	0	0.016	0	0.016
