"Group","Node","Degree","Betweenness","Closeness","Eigenvector","Modularity","Zi","Pi","Role"
"LS","OTU_2097",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2103",66,0,0.0151515151515152,2.51465142153913e-15,2,0,0,"Peripheral"
"LS","OTU_2104",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_2105",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2106",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2122",11,0,0.0909090909090909,0,6,0,0,"Peripheral"
"LS","OTU_2133",66,0,0.0151515151515152,2.41473070449589e-15,2,0,0,"Peripheral"
"LS","OTU_214",66,0,0.0151515151515152,2.42724806122731e-15,2,0,0,"Peripheral"
"LS","OTU_2145",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_217",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_2172",66,0,0.0151515151515152,2.35755373218073e-15,2,0,0,"Peripheral"
"LS","OTU_2179",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2180",11,0,0.0909090909090909,0,6,0,0,"Peripheral"
"LS","OTU_2185",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_2198",66,0,0.0151515151515152,2.49980414253202e-15,2,0,0,"Peripheral"
"LS","OTU_2202",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2207",66,0,0.0151515151515152,2.63854906174505e-15,2,0,0,"Peripheral"
"LS","OTU_221",66,0,0.0151515151515152,2.49356196811675e-15,2,0,0,"Peripheral"
"LS","OTU_2214",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_2215",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2216",11,0,0.0909090909090909,0,6,0,0,"Peripheral"
"LS","OTU_2230",11,0,0.0909090909090909,0,6,0,0,"Peripheral"
"LS","OTU_225",66,0,0.0151515151515152,2.47360459922387e-15,2,0,0,"Peripheral"
"LS","OTU_2255",42,0,0.0238095238095238,1.39103626802672e-17,4,0,0,"Peripheral"
"LS","OTU_2257",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_2274",66,0,0.0151515151515152,2.58064209753065e-15,2,0,0,"Peripheral"
"LS","OTU_2275",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_228",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2280",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2291",66,0,0.0151515151515152,2.32372004590402e-15,2,0,0,"Peripheral"
"LS","OTU_2293",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2299",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2304",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_231",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2313",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_232",66,0,0.0151515151515152,2.49503009778866e-15,2,0,0,"Peripheral"
"LS","OTU_2330",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2335",66,0,0.0151515151515152,2.5363354399633e-15,2,0,0,"Peripheral"
"LS","OTU_234",42,0,0.0238095238095238,9.11312993389528e-17,3,0,0,"Peripheral"
"LS","OTU_2344",66,0,0.0151515151515152,2.40171563300475e-15,2,0,0,"Peripheral"
"LS","OTU_2348",42,0,0.0238095238095238,0,4,0,0,"Peripheral"
"LS","OTU_2354",66,0,0.0151515151515152,2.40720377307475e-15,2,0,0,"Peripheral"
"LS","OTU_2358",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_2359",13,0,0.0769230769230769,0,5,0,0,"Peripheral"
"LS","OTU_2375",66,0,0.0151515151515152,2.51449365859487e-15,2,0,0,"Peripheral"
"LS","OTU_2380",66,0,0.0151515151515152,2.41669848470826e-15,2,0,0,"Peripheral"
"LS","OTU_2388",73,0,0.0136986301369863,1,1,0,0,"Peripheral"
"LS","OTU_2393",42,0,0.0238095238095238,2.8860122792077e-17,3,0,0,"Peripheral"
